Total episodes,3185
Total duration in seconds,139881.3
Total duration in frames,4196439
Washing duration in seconds,83803.9
"Palm to palm" duration in seconds,6684.8
"Palm over dorsum, fingers interlaced" duration in seconds,5527.7
"Palm to palm, fingers interlaced" duration in seconds,3941.9
"Backs of fingers to opposing palm, fingers interlocked" duration in seconds,3018.8
"Rotational rubbing of the thumb" duration in seconds,3607.6
"Fingertips to palm" duration in seconds,2706.5
"Turning off the faucet with a paper towel" duration in seconds,2029.9
"Other movement" duration in seconds,56286.8
Total episodes with ring present,440
Total episodes with armband or watch present,127
Total episodes with long nails present,58
